Saved Search Query,Title,Price,Date,eBay URL
2015 connor mcdavid lot,CONNOR MCDAVID ROOKIE CARD #1 DRAFT LEAF OILERS ITG GEM MINT,40.0,2026-05-27 08:00:33,https://www.ebay.com/itm/206296541750
2015 connor mcdavid lot,CONNOR MCDAVID DRAFT CARD #1 LEAF ITG ROOKIE SPA GEM MINT 10,25.0,2026-05-27 08:00:33,https://www.ebay.com/itm/198376375018
2015 connor mcdavid lot,Upper Deck Connor McDavid Oilers NHL Aimbots/Gaming POV/Let Them Cook Lot (3),4.0,2026-05-27 08:00:34,https://www.ebay.com/itm/168397163966
2015 connor mcdavid lot,2015-16 Upper Deck Connor McDavid UD Star Rookies PSA 9,65.0,2026-05-27 08:00:34,https://www.ebay.com/itm/800054361279
2015 connor mcdavid lot,2015-16 CONNOR MCDAVID Rookie Rc Lot Edmonton Oilers lot of 4,202.72,2026-05-27 08:00:34,https://www.ebay.com/itm/178147980684
2015 connor mcdavid lot,"LOT (20) 2015-16 Upper Deck Connor McDavid Collection (Missing # 4,16,17,21,25)",57.91,2026-05-27 08:00:34,https://www.ebay.com/itm/147312627869
2015 connor mcdavid lot,16 Cards Lot Of Connor Mcdavid Hockey Card,14.42,2026-05-27 08:00:34,https://www.ebay.com/itm/287322502208
2015 connor mcdavid lot,2015-16 Upper Deck Connor McDavid Collection - Connor McDavid #CM-24,4.99,2026-05-27 08:00:34,https://www.ebay.com/itm/318261833834
2015 connor mcdavid lot,2015-16 RC Opc Connor Mcdavid Edmonton Oilers,72.4,2026-05-27 08:00:34,https://www.ebay.com/itm/327125099847
2015 connor mcdavid lot,CONNOR MCDAVID ROOKIE CARD #1 DRAFT LEAF OILERS ITG GEM MINT #10 🏒🔥HOT🔥🏒 !!,39.99,2026-05-27 08:00:34,https://www.ebay.com/itm/198284341573
lemieux lot,NEW LISTINGAVALANCHE LOT OF 3 - 1996-97 UD COLLECTOR’S CHOICE - MVP - ROY FORSBERG LEMIEUX,3.62,2026-05-27 08:00:39,https://www.ebay.com/itm/127887555794
lemieux lot,NEW LISTINGHockey Card Lot Of 76 Cards - Gretzky Lindros Lemieux Etc . Great Starter Lot,0.99,2026-05-27 08:00:40,https://www.ebay.com/itm/800063985818
lemieux lot,"NEW LISTING1988-89 OPC #120 Wayne Gretzky, #1 Mario Lemieux, #181 Bob Probert RC Lot",0.99,2026-05-27 08:00:40,https://www.ebay.com/itm/157936159192
lemieux lot,NEW LISTINGLot 6 Gretzky Lemieux Brodeur Yzerman CGC graded cards 7 8 8.5 NHL HOF,0.01,2026-05-27 08:00:40,https://www.ebay.com/itm/287355500230
lemieux lot,NEW LISTINGMario Lemieux 9 card lot,5.43,2026-05-27 08:00:40,https://www.ebay.com/itm/168405740088
lemieux lot,NEW LISTING1990-91 Pro Set #236 Mario Lemieux 2ct Penguins Hockey Card Lot 2301G,3.0,2026-05-27 08:00:40,https://www.ebay.com/itm/168405576060
lemieux lot,NEW LISTING2010 BLACK DIAMOND TEAM CANADA D/C #TC-ML MARIO LEMIEUX LOT OF 45 MINT H375443,4.99,2026-05-27 08:00:40,https://www.ebay.com/itm/377212698653
lemieux lot,NEW LISTING1988-89 O Pee Chee Hockey 4 Pack Sticker lot - Gretzky Lemieux,5.95,2026-05-27 08:00:41,https://www.ebay.com/itm/278025072524
lemieux lot,1993-94 Leaf Mario Lemieux Collection Lot of 3 #6-7-9,2.16,2026-05-27 08:00:41,https://www.ebay.com/itm/406951797958
lemieux lot,"1991-92 O-Pee-Chee/Topps NHL Hockey - Lot Of 12 Cards - Gretzky, Lemieux, More",0.99,2026-05-27 08:00:41,https://www.ebay.com/itm/137345378607
gretzky lot,NEW LISTINGold sports cards lot《Stars/Goats》《Wilt▪︎Aaron ▪︎Ohtani▪︎Brady▪︎Mantle▪︎Gretzky 》,4.55,2026-05-27 08:00:45,https://www.ebay.com/itm/358603815428
gretzky lot,"NEW LISTING1982-83 OPC Grant Fuhr, Ron Francis RC, 84-85 Pat LaFontaine RC, Gretzky Lot",34.95,2026-05-27 08:00:45,https://www.ebay.com/itm/318367059582
gretzky lot,NEW LISTING1979-80 Topps Hockey Lot of 132 Cards w/ Duplicates All Crease Free,49.95,2026-05-27 08:00:45,https://www.ebay.com/itm/377213701407
gretzky lot,NEW LISTING(3) 1990 Topps WAYNE GRETZKY LOT *Kings Oilers* Wayne Gretzky Topps Lot x 3,0.5,2026-05-27 08:00:45,https://www.ebay.com/itm/147332798917
